table_schema,table_name,column_position,column_name,data_type,character_maximum_length,is_nullable,column_default
public,profiles,2,workspace_id,uuid,null,NO,null
public,profiles,3,email,text,null,NO,null
public,profiles,4,full_name,text,null,YES,null
public,profiles,5,avatar_url,text,null,YES,null
public,profiles,6,role,text,null,NO,'owner'::text
public,profiles,7,chatbot_name,text,null,NO,'Assistant'::text
public,profiles,8,welcome_message,text,null,NO,'Hello! How can I help you today?'::text
public,profiles,9,accent_color,text,null,NO,'#2563EB'::text
public,profiles,10,trial_ends_at,timestamp with time zone,null,YES,null
public,profiles,11,subscription_status,text,null,NO,'trial'::text
public,profiles,12,subscription_tier,text,null,NO,'enterprise'::text
public,profiles,13,subscription_ends_at,timestamp with time zone,null,YES,null
public,profiles,14,payment_id,text,null,YES,null
public,profiles,15,created_at,timestamp with time zone,null,NO,now()
public,profiles,16,updated_at,timestamp with time zone,null,NO,now()
public,profiles,17,chatbot_logo_url,text,null,YES,null
public,profiles,18,has_used_trial,boolean,null,YES,false
public,profiles,19,chatbot_theme,text,null,YES,'light'::text
public,profiles,20,custom_css,text,null,YES,null
public,profiles,21,version,integer,null,NO,1
public,subscription_changes,1,id,uuid,null,NO,gen_random_uuid()
public,subscription_changes,2,user_id,uuid,null,NO,null
public,subscription_changes,3,workspace_id,uuid,null,YES,null
public,subscription_changes,4,old_tier,text,null,YES,null
public,subscription_changes,5,new_tier,text,null,NO,null
public,subscription_changes,6,change_type,text,null,NO,null
public,subscription_changes,7,payment_id,text,null,YES,null
public,subscription_changes,8,order_id,text,null,YES,null
public,subscription_changes,9,amount_paid,numeric,null,YES,null
public,subscription_changes,10,currency,text,null,YES,'USD'::text
public,subscription_changes,11,payment_method,text,null,YES,null
public,subscription_changes,12,payment_status,text,null,YES,null
public,subscription_changes,13,razorpay_payment_id,text,null,YES,null
public,subscription_changes,14,razorpay_order_id,text,null,YES,null
public,subscription_changes,15,razorpay_signature,text,null,YES,null
public,subscription_changes,16,webhook_verified,boolean,null,YES,false
public,subscription_changes,17,ip_address,inet,null,YES,null
public,subscription_changes,18,user_agent,text,null,YES,null
public,subscription_changes,19,created_at,timestamp with time zone,null,YES,now()
public,subscription_changes,20,metadata,jsonb,null,YES,'{}'::jsonb
public,payment_errors,1,id,uuid,null,NO,gen_random_uuid()
public,payment_errors,2,user_id,uuid,null,YES,null
public,payment_errors,3,workspace_id,uuid,null,YES,null
public,payment_errors,4,error_type,text,null,NO,null
public,payment_errors,5,error_code,text,null,YES,null
public,payment_errors,6,error_message,text,null,YES,null
public,payment_errors,7,payment_id,text,null,YES,null
public,payment_errors,8,order_id,text,null,YES,null
public,payment_errors,9,amount,numeric,null,YES,null
public,payment_errors,10,currency,text,null,YES,'USD'::text
public,payment_errors,11,payment_method,text,null,YES,null
public,payment_errors,12,razorpay_error_code,text,null,YES,null
public,payment_errors,13,razorpay_error_description,text,null,YES,null
public,payment_errors,14,ip_address,inet,null,YES,null
public,payment_errors,15,user_agent,text,null,YES,null
public,payment_errors,16,request_data,jsonb,null,YES,null
public,payment_errors,17,response_data,jsonb,null,YES,null
public,payment_errors,18,created_at,timestamp with time zone,null,YES,now()
public,payment_errors,19,resolved,boolean,null,YES,false
public,payment_errors,20,resolved_at,timestamp with time zone,null,YES,null
public,csrf_tokens,1,id,uuid,null,NO,gen_random_uuid()
public,csrf_tokens,2,token_hash,text,null,NO,null
public,csrf_tokens,3,user_id,uuid,null,YES,null
public,csrf_tokens,4,session_id,text,null,YES,null
public,csrf_tokens,5,ip_address,inet,null,YES,null
public,csrf_tokens,6,user_agent,text,null,YES,null
public,csrf_tokens,7,endpoint,text,null,NO,null
public,csrf_tokens,8,expires_at,timestamp with time zone,null,NO,null
public,csrf_tokens,9,used_at,timestamp with time zone,null,YES,null
public,csrf_tokens,10,is_used,boolean,null,YES,false
public,csrf_tokens,11,created_at,timestamp with time zone,null,YES,now()
public,subscription_audit,1,id,uuid,null,NO,gen_random_uuid()
public,subscription_audit,2,user_id,uuid,null,NO,null
public,subscription_audit,3,workspace_id,uuid,null,YES,null
public,subscription_audit,4,old_tier,text,null,YES,null
public,subscription_audit,5,new_tier,text,null,YES,null
public,subscription_audit,6,change_type,text,null,NO,null
public,subscription_audit,7,change_reason,text,null,YES,null
public,subscription_audit,8,order_id,text,null,YES,null
public,subscription_audit,9,payment_id,text,null,YES,null
public,subscription_audit,10,amount_paid,numeric,null,YES,null
public,subscription_audit,11,currency,text,null,YES,'USD'::text
public,subscription_audit,12,ip_address,inet,null,YES,null
public,subscription_audit,13,user_agent,text,null,YES,null
public,subscription_audit,14,request_id,text,null,YES,null
public,subscription_audit,15,session_id,text,null,YES,null
public,subscription_audit,16,created_at,timestamp with time zone,null,YES,now()
public,subscription_audit,17,metadata,jsonb,null,YES,'{}'::jsonb
public,shopify_stores,1,id,uuid,null,NO,gen_random_uuid()
public,shopify_stores,2,shop_domain,text,null,NO,null
public,shopify_stores,3,myshopify_domain,text,null,NO,null
public,shopify_stores,4,primary_domain,text,null,YES,null
public,shopify_stores,5,store_name,text,null,YES,null
public,shopify_stores,6,store_email,text,null,YES,null
public,shopify_stores,7,access_token_encrypted,text,null,NO,null
public,shopify_stores,8,scopes,ARRAY,null,NO,'{}'::text[]
public,shopify_stores,9,trulybot_account_id,uuid,null,YES,null
public,shopify_stores,10,script_tag_id,text,null,YES,null
public,shopify_stores,11,status,text,null,NO,'connected'::text
public,shopify_stores,12,last_synced_at,timestamp with time zone,null,YES,null
public,shopify_stores,13,synced_counts,jsonb,null,YES,'{}'::jsonb
public,shopify_stores,14,created_at,timestamp with time zone,null,YES,now()
public,shopify_stores,15,updated_at,timestamp with time zone,null,YES,now()
public,store_integrations,1,id,uuid,null,NO,gen_random_uuid()
public,store_integrations,2,user_id,uuid,null,NO,null
public,store_integrations,3,workspace_id,uuid,null,NO,null
public,store_integrations,4,platform,text,null,NO,null
public,store_integrations,5,store_url,text,null,NO,null
public,store_integrations,6,store_name,text,null,NO,null
public,store_integrations,7,store_email,text,null,YES,null
public,store_integrations,8,api_key_encrypted,text,null,YES,null
public,store_integrations,9,api_secret_encrypted,text,null,YES,null
public,store_integrations,10,permissions,text,null,YES,null
public,store_integrations,11,access_token_encrypted,text,null,YES,null
public,store_integrations,12,shop_domain,text,null,YES,null
public,store_integrations,13,status,text,null,NO,'active'::text
public,store_integrations,14,config,jsonb,null,YES,'{}'::jsonb
public,store_integrations,15,connected_at,timestamp with time zone,null,YES,now()
public,store_integrations,16,disconnected_at,timestamp with time zone,null,YES,null
public,store_integrations,17,last_sync_at,timestamp with time zone,null,YES,null
public,store_integrations,18,created_at,timestamp with time zone,null,YES,now()
public,store_integrations,19,updated_at,timestamp with time zone,null,YES,now()
public,user_activities,1,id,uuid,null,NO,gen_random_uuid()
public,user_activities,2,user_id,uuid,null,NO,null
public,user_activities,3,activity_type,text,null,NO,null
public,user_activities,4,description,text,null,NO,null
public,user_activities,5,metadata,jsonb,null,YES,'{}'::jsonb
public,user_activities,6,created_at,timestamp with time zone,null,YES,now()
public,webhook_dead_letters,1,id,uuid,null,NO,gen_random_uuid()
public,webhook_dead_letters,2,webhook_type,text,null,NO,null
public,webhook_dead_letters,3,payload,jsonb,null,NO,null
public,webhook_dead_letters,4,attempts,integer,null,NO,null
public,webhook_dead_letters,5,final_error,text,null,NO,null
public,webhook_dead_letters,6,queued_at,timestamp with time zone,null,NO,null
public,webhook_dead_letters,7,created_at,timestamp with time zone,null,NO,now()
public,webhook_dead_letters,8,re_queued_at,timestamp with time zone,null,YES,null
public,webhook_retry_queue,1,id,uuid,null,NO,gen_random_uuid()
public,webhook_retry_queue,2,webhook_type,text,null,NO,null
public,webhook_retry_queue,3,payload,jsonb,null,NO,null
public,webhook_retry_queue,4,attempt,integer,null,NO,1
public,webhook_retry_queue,5,max_attempts,integer,null,NO,5
public,webhook_retry_queue,6,last_error,text,null,YES,null
public,webhook_retry_queue,7,next_retry_at,timestamp with time zone,null,NO,null
public,webhook_retry_queue,8,status,text,null,NO,'pending'::text
public,webhook_retry_queue,9,created_at,timestamp with time zone,null,NO,now()
public,webhook_retry_queue,10,updated_at,timestamp with time zone,null,NO,now()
auth,oauth_consents,1,id,uuid,null,NO,null
auth,oauth_consents,2,user_id,uuid,null,NO,null
auth,oauth_consents,3,client_id,uuid,null,NO,null
auth,oauth_consents,4,scopes,text,null,NO,null
auth,oauth_consents,5,granted_at,timestamp with time zone,null,NO,now()
auth,oauth_consents,6,revoked_at,timestamp with time zone,null,YES,null
auth,oauth_authorizations,1,id,uuid,null,NO,null
auth,oauth_authorizations,2,authorization_id,text,null,NO,null
auth,oauth_authorizations,3,client_id,uuid,null,NO,null
auth,oauth_authorizations,4,user_id,uuid,null,YES,null
auth,oauth_authorizations,5,redirect_uri,text,null,NO,null
auth,oauth_authorizations,6,scope,text,null,NO,null
auth,oauth_authorizations,7,state,text,null,YES,null
auth,oauth_authorizations,8,resource,text,null,YES,null
auth,oauth_authorizations,9,code_challenge,text,null,YES,null
auth,oauth_authorizations,10,code_challenge_method,USER-DEFINED,null,YES,null
auth,oauth_authorizations,11,response_type,USER-DEFINED,null,NO,'code'::auth.oauth_response_type
auth,oauth_authorizations,12,status,USER-DEFINED,null,NO,'pending'::auth.oauth_authorization_status
auth,oauth_authorizations,13,authorization_code,text,null,YES,null
auth,oauth_authorizations,14,created_at,timestamp with time zone,null,NO,now()
auth,oauth_authorizations,15,expires_at,timestamp with time zone,null,NO,(now() + '00:03:00'::interval)
auth,oauth_authorizations,16,approved_at,timestamp with time zone,null,YES,null
